ticker,tipo,activo,notas
ALUA.BA,merval_lider,SI,
BBAR.BA,merval_lider,NO,
BMA.BA,merval_lider,SI,
BYMA.BA,merval_lider,SI,
CEPU.BA,merval_lider,SI,
COME.BA,merval_lider,SI,
CRES.BA,merval_lider,SI,
ECOG.BA,merval_lider,SI,
EDN.BA,merval_lider,SI,
GGAL.BA,merval_lider,NO,
IRSA.BA,merval_lider,SI,
LOMA.BA,merval_lider,SI,
METR.BA,merval_lider,SI,
PAMP.BA,merval_lider,SI,
SUPV.BA,merval_lider,SI,
TECO2.BA,merval_lider,NO,
TGNO4.BA,merval_lider,SI,
TGSU2.BA,merval_lider,SI,
TRAN.BA,merval_lider,SI,
TXAR.BA,merval_lider,NO,
VALO.BA,merval_lider,SI,
YPFD.BA,merval_lider,SI,
IBM.BA,cedear,SI,
GLD.BA,cedear,SI,
EBAY.BA,cedear,SI,
BRKB.BA,cedear,SI,
COIN.BA,cedear,SI,
SMH.BA,cedear,SI,
AMZN.BA,cedear,SI,
MDVL.BA,cedear,SI,
HIMS.BA,cedear,SI,
PYPL.BA,cedear,SI,
KO.BA,cedear,SI,
ETHA.BA,cedear,NO,
V.BA,cedear,SI,
PLTR.BA,cedear,SI,
CRWV.BA,cedear,SI,
ASTS.BA,cedear,SI,
STNE.BA,cedear,SI,
JMIA.BA,cedear,SI,
AVGO.BA,cedear,SI,
MCD.BA,cedear,SI,
VIST.BA,cedear,SI,
NVDA.BA,cedear,SI,
MELI.BA,cedear,SI,
HUT.BA,cedear,SI,
IREN.BA,cedear,SI,
ORCL.BA,cedear,SI,
UN.BA,cedear,SI,
GOOGL.BA,cedear,SI,
AMD.BA,cedear,SI,
MSFT.BA,cedear,SI,
PBR.BA,cedear,SI,
NBIS.BA,cedear,SI,
MSTR.BA,cedear,NO,
AAPL.BA,cedear,NO,
INTC.BA,cedear,SI,
SNDK.BA,cedear,NO,
META.BA,cedear,SI,
TSLA.BA,cedear,SI,
NFLX.BA,cedear,SI,
BABA.BA,cedear,SI,
TSM.BA,cedear,SI,
SATL.BA,cedear,SI,
KEEL.BA,cedear,SI,
AAL.BA,cedear,SI,
AAP.BA,cedear,SI,
ABBV.BA,cedear,SI,
ABEV.BA,cedear,NO,
ABNB.BA,cedear,SI,
ABT.BA,cedear,SI,
ACN.BA,cedear,NO,
ACWI.BA,cedear,SI,
ADBE.BA,cedear,SI,
ADGO.BA,cedear,NO,
ADI.BA,cedear,SI,
ADP.BA,cedear,SI,
ADS.BA,cedear,SI,
AEG.BA,cedear,SI,
AEM.BA,cedear,SI,
AI.BA,cedear,NO,
AIG.BA,cedear,SI,
AKO.B.BA,cedear,SI,
ALAB.BA,cedear,SI,
AMAT.BA,cedear,SI,
AMGN.BA,cedear,SI,
AMX.BA,cedear,SI,
ANET.BA,cedear,SI,
ANF.BA,cedear,SI,
ARCO.BA,cedear,SI,
ARM.BA,cedear,SI,
ASML.BA,cedear,SI,
ASR.BA,cedear,SI,
AVY.BA,cedear,SI,
AXIA.BA,cedear,SI,
AXP.BA,cedear,SI,
AZN.BA,cedear,SI,
B.BA,cedear,SI,
BA.BA,cedear,SI,
BAC.BA,cedear,SI,
BAK.BA,cedear,SI,
BBD.BA,cedear,SI,
BBV.BA,cedear,SI,
BCS.BA,cedear,SI,
BHP.BA,cedear,SI,
BIDU.BA,cedear,NO,
BIIB.BA,cedear,SI,
BKC*.BA,cedear,SI,
BKR.BA,cedear,SI,
BMNR.BA,cedear,NO,
BMY.BA,cedear,SI,
BNG.BA,cedear,NO,
BNY.BA,cedear,SI,
BP.BA,cedear,SI,
BPC.BA,cedear,SI,
BSBR.BA,cedear,SI,
BX.BA,cedear,SI,
C.BA,cedear,SI,
CAAP.BA,cedear,SI,
CAH.BA,cedear,SI,
CAR.BA,cedear,SI,
CAT.BA,cedear,SI,
CC.BA,cedear,SI,
CCJ.BA,cedear,SI,
CCL.BA,cedear,NO,
CDE.BA,cedear,SI,
CEG.BA,cedear,SI,
CIBR.BA,cedear,SI,
CL.BA,cedear,SI,
CLS.BA,cedear,SI,
COP.BA,cedear,SI,
COPX.BA,cedear,SI,
COST.BA,cedear,SI,
CRM.BA,cedear,SI,
CSCO.BA,cedear,SI,
CVS.BA,cedear,SI,
CVX.BA,cedear,SI,
CX.BA,cedear,SI,
DAL.BA,cedear,NO,
DD.BA,cedear,NO,
DE.BA,cedear,SI,
DECK.BA,cedear,SI,
DEO.BA,cedear,SI,
DHR.BA,cedear,SI,
DISN.BA,cedear,SI,
DOCU.BA,cedear,SI,
DOW.BA,cedear,SI,
E.BA,cedear,SI,
EA.BA,cedear,SI,
ECL.BA,cedear,SI,
EFA.BA,cedear,SI,
EFX.BA,cedear,SI,
ELPC.BA,cedear,SI,
EMBJ.BA,cedear,SI,
EQNR.BA,cedear,SI,
ERIC.BA,cedear,SI,
ESGU.BA,cedear,SI,
ETSY.BA,cedear,SI,
EWJ.BA,cedear,SI,
EWY.BA,cedear,NO,
F.BA,cedear,SI,
FCX.BA,cedear,SI,
FD.BA,cedear,NO,
FISV.BA,cedear,SI,
FMX.BA,cedear,SI,
FNMA.BA,cedear,SI,
FSLR.BA,cedear,SI,
FXI.BA,cedear,SI,
GDX.BA,cedear,SI,
GE.BA,cedear,SI,
GFI.BA,cedear,SI,
GG.BA,cedear,SI,
GIL.BA,cedear,SI,
GLN.BA,cedear,SI,
GLOB.BA,cedear,NO,
GLW.BA,cedear,SI,
GM.BA,cedear,SI,
GPRK.BA,cedear,SI,
GRMN.BA,cedear,SI,
GS.BA,cedear,SI,
GSK.BA,cedear,SI,
GT.BA,cedear,SI,
HAL.BA,cedear,SI,
HD.BA,cedear,SI,
HL.BA,cedear,SI,
HM.BA,cedear,SI,
HMY.BA,cedear,SI,
HOG.BA,cedear,SI,
HON.BA,cedear,SI,
HOOD.BA,cedear,NO,
HPQ.BA,cedear,NO,
HSBC.BA,cedear,SI,
HSY.BA,cedear,SI,
HWM.BA,cedear,SI,
IBB.BA,cedear,SI,
IBIT.BA,cedear,SI,
IBN.BA,cedear,SI,
ICLN.BA,cedear,SI,
IEMG.BA,cedear,SI,
IEUR.BA,cedear,SI,
IFF.BA,cedear,SI,
IJH.BA,cedear,SI,
ILF.BA,cedear,SI,
INFY.BA,cedear,SI,
ING.BA,cedear,SI,
IP.BA,cedear,NO,
ISRG.BA,cedear,SI,
ITA.BA,cedear,SI,
ITUB.BA,cedear,SI,
IVE.BA,cedear,SI,
IVV.BA,cedear,SI,
IVW.BA,cedear,SI,
JCI.BA,cedear,SI,
JD.BA,cedear,NO,
JNJ.BA,cedear,SI,
JOYY.BA,cedear,SI,
JPM.BA,cedear,SI,
KB.BA,cedear,SI,
KEP.BA,cedear,NO,
KGC.BA,cedear,SI,
KMB.BA,cedear,SI,
LAC.BA,cedear,NO,
LLY.BA,cedear,SI,
LMT.BA,cedear,NO,
LND.BA,cedear,SI,
LRCX.BA,cedear,SI,
LVS.BA,cedear,SI,
LYG.BA,cedear,SI,
MA.BA,cedear,SI,
MDLZ.BA,cedear,SI,
MDT.BA,cedear,SI,
MFG.BA,cedear,SI,
MMM.BA,cedear,NO,
MO.BA,cedear,SI,
MOS.BA,cedear,SI,
MP.BA,cedear,NO,
MRK.BA,cedear,SI,
MRNA.BA,cedear,NO,
MRSH.BA,cedear,SI,
MRVL.BA,cedear,NO,
MSI.BA,cedear,SI,
MU.BA,cedear,SI,
MUFG.BA,cedear,SI,
MUX.BA,cedear,SI,
NATU3.BA,cedear,SI,
NEE.BA,cedear,SI,
NEM.BA,cedear,SI,
NG.BA,cedear,SI,
NIO.BA,cedear,SI,
NKE.BA,cedear,NO,
NMR.BA,cedear,SI,
NOKA.BA,cedear,SI,
NOW.BA,cedear,NO,
NTES.BA,cedear,SI,
NU.BA,cedear,SI,
NUE.BA,cedear,SI,
NVO.BA,cedear,SI,
NVS.BA,cedear,SI,
NXE.BA,cedear,SI,
O.BA,cedear,SI,
OKLO.BA,cedear,NO,
ONDS.BA,cedear,SI,
ORLY.BA,cedear,SI,
OXY.BA,cedear,NO,
PAAS.BA,cedear,SI,
PAC.BA,cedear,SI,
PAGS.BA,cedear,SI,
PANW.BA,cedear,SI,
PATH.BA,cedear,NO,
