ticker,tipo,activo,notas
IBM.BA,cedear,SI,
GLD.BA,cedear,SI,
EBAY.BA,cedear,SI,
BRKB.BA,cedear,SI,
COIN.BA,cedear,SI,
SMH.BA,cedear,SI,
AMZN.BA,cedear,SI,
MDVL.BA,cedear,SI,
HIMS.BA,cedear,SI,
PYPL.BA,cedear,SI,
KO.BA,cedear,SI,
ETHA.BA,cedear,NO,
V.BA,cedear,SI,
PLTR.BA,cedear,NO,
CRWV.BA,cedear,SI,
ASTS.BA,cedear,SI,
STNE.BA,cedear,NO,
JMIA.BA,cedear,SI,
AVGO.BA,cedear,SI,
MCD.BA,cedear,SI,
VIST.BA,cedear,SI,
NVDA.BA,cedear,SI,
MELI.BA,cedear,SI,
HUT.BA,cedear,NO,
IREN.BA,cedear,NO,
ORCL.BA,cedear,NO,
NU.BA,cedear,SI,
GOOGL.BA,cedear,SI,
AMD.BA,cedear,SI,
MSFT.BA,cedear,SI,
PBR.BA,cedear,SI,
NBIS.BA,cedear,SI,
MSTR.BA,cedear,SI,
AAPL.BA,cedear,SI,
INTC.BA,cedear,SI,
SNDK.BA,cedear,SI,
META.BA,cedear,SI,
TSLA.BA,cedear,SI,
NFLX.BA,cedear,SI,
BABA.BA,cedear,NO,
TSM.BA,cedear,SI,
SATL.BA,cedear,SI,
KEEL.BA,cedear,SI,
AAL.BA,cedear,SI,
AAP.BA,cedear,SI,
ABBV.BA,cedear,SI,
ABEV.BA,cedear,SI,
ABNB.BA,cedear,SI,
ABT.BA,cedear,SI,
ACN.BA,cedear,SI,
ACWI.BA,cedear,SI,
ADBE.BA,cedear,NO,
ADGO.BA,cedear,NO,
ADI.BA,cedear,SI,
ADP.BA,cedear,SI,
ADS.BA,cedear,SI,
AEG.BA,cedear,SI,
AEM.BA,cedear,SI,
AI.BA,cedear,NO,
AIG.BA,cedear,SI,
AKO.B.BA,cedear,SI,
ALAB.BA,cedear,SI,
AMAT.BA,cedear,SI,
AMGN.BA,cedear,NO,
AMX.BA,cedear,SI,
ANET.BA,cedear,SI,
ANF.BA,cedear,SI,
ARCO.BA,cedear,NO,
ARM.BA,cedear,NO,
ASML.BA,cedear,SI,
ASR.BA,cedear,SI,
AVY.BA,cedear,NO,
AXIA.BA,cedear,SI,
AXP.BA,cedear,SI,
AZN.BA,cedear,NO,
B.BA,cedear,NO,
BA.BA,cedear,SI,
BAC.BA,cedear,SI,
BAK.BA,cedear,SI,
BBD.BA,cedear,SI,
BBV.BA,cedear,SI,
BCS.BA,cedear,SI,
BHP.BA,cedear,SI,
BIDU.BA,cedear,NO,
BIIB.BA,cedear,SI,
BKC*.BA,cedear,SI,
BKR.BA,cedear,SI,
BMNR.BA,cedear,SI,
BMY.BA,cedear,SI,
BNG.BA,cedear,SI,
BNY.BA,cedear,SI,
BP.BA,cedear,SI,
BPC.BA,cedear,SI,
BSBR.BA,cedear,SI,
BX.BA,cedear,NO,
C.BA,cedear,NO,
CAAP.BA,cedear,SI,
CAH.BA,cedear,SI,
CAR.BA,cedear,SI,
CAT.BA,cedear,NO,
CC.BA,cedear,SI,
CCJ.BA,cedear,SI,
CCL.BA,cedear,NO,
CDE.BA,cedear,NO,
CEG.BA,cedear,SI,
CIBR.BA,cedear,NO,
CL.BA,cedear,SI,
ALUA.BA,merval_lider,SI,
BBAR.BA,merval_lider,NO,
BMA.BA,merval_lider,SI,
BYMA.BA,merval_lider,SI,
CEPU.BA,merval_lider,SI,
COME.BA,merval_lider,SI,
CRES.BA,merval_lider,SI,
ECOG.BA,merval_lider,NO,
EDN.BA,merval_lider,SI,
GGAL.BA,merval_lider,SI,
IRSA.BA,merval_lider,SI,
LOMA.BA,merval_lider,SI,
METR.BA,merval_lider,SI,
PAMP.BA,merval_lider,SI,
SUPV.BA,merval_lider,SI,
TECO2.BA,merval_lider,SI,
TGNO4.BA,merval_lider,SI,
TGSU2.BA,merval_lider,NO,
TRAN.BA,merval_lider,SI,
TXAR.BA,merval_lider,SI,
VALO.BA,merval_lider,NO,
YPFD.BA,merval_lider,SI,
